gene	num_common_functional	total_coding_variants
ITPKC	1	480
IZUMO1	1	126
IZUMO2	2	452
JAG1	4	1678
JAK3	3	1963
JPH2	2	1281
JUNB	0	31
KANK2	12	1737
KASH5	6	955
KCNA7	3	966
KCNB1	4	1104
KCNE2	1	203
KCNG1	0	820
KCNJ14	2	640
KCNJ6	0	126
KCNK15	1	202
KCNK6	6	656
KDELR1	0	133
KDM4B	2	1966
KEAP1	1	926
KIAA1755	8	2257
KIF16B	12	2107
KIF3B	1	1001
KIR3DL3	0	57
KISS1R	2	930
KLHL26	0	1399
KLK1	4	475
KLK2	3	497
KLK3	5	500
KLK4	6	531
KLK5	2	541
KLK6	3	416
KLK8	0	1
KLK9	0	501
KMT2B	1	2832
KMT5C	0	924
KPTN	0	296
KRI1	7	743
KRTAP11-1	3	270
KRTAP13-1	2	319
KRTAP13-2	5	346
KRTAP13-4	5	299
KRTAP15-1	1	256
KRTAP19-1	1	173
KRTAP19-2	3	105
KRTAP19-4	2	155
KRTAP19-6	1	96
KRTAP19-7	0	121
KRTAP19-8	1	110
KRTAP20-2	0	124
KRTAP20-3	0	71
KRTAP21-2	2	150
KRTAP21-3	1	90
KRTAP22-1	2	71
KRTAP22-2	0	75
KRTAP23-1	1	108
KRTAP24-1	2	500
KRTAP25-1	1	193
KRTAP26-1	5	400
KRTAP27-1	3	384
KRTAP6-1	2	125
KRTAP7-1	2	148
KRTAP8-1	0	118
KRTDAP	0	182
KXD1	2	306
LAMA5	64	8448
LAMP5	1	566
LBP	15	909
LCA5L	8	966
LENG8	3	1471
LGALS13	4	277
LGALS16	2	290
LGALS4	0	517
LGI4	3	1111
LIG1	8	1703
LILRA4	13	978
LILRA5	0	427
LIN7B	0	460
LINGO3	2	1196
LIPE	10	1956
LMNB2	2	957
LONP1	5	1223
LPIN3	9	1009
LRFN1	2	1454
LRFN3	4	1210
LRG1	3	677
LRP3	0	141
LRRC25	2	445
LRRC3	2	545
LRRC8E	9	1578
LRRN4	10	1641
LSM14B	1	633
LSM7	0	193
LTN1	11	2489
LYL1	0	288
LYPD3	3	685
